"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","effort","income","cy","num-workers","final-demands","utility-exponents","industry","production-inputs","product","ql","output","xe","z","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c","ef","base-color","cq","ce","du","input-quantities","nature-quantities","labor-quantities","input-exponents","nature-exponents","labor-exponents","k","s","a","debug-a","debug-k","debug-c","debug-o","debug-s","debug-cdx-1","debug-cdx-2","debug-cdx-3","debug-price-1","debug-price-2","debug-price-3"
"52","45","48","0.990099009900991","7.314294672329284","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.314294672329284","10","[0 0 0 0 0]","[0.18859859286052774 0.15195628580699566 0.23955546257874535 0.1827690643536291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53","45","205","1.3168316831683171","10.700579139618876","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.700579139618876","10","[0 0 0 0 0]","[0.2379849075249807 0.18439409178689115 0.23087778611576532 0.22984742617657378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","45","327","1.6435643564356432","10.050780762257826","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.050780762257826","10","[0 0 0 0 0]","[0.18475906303326042 0.1842504909006069 0.2253954186876315 0.17529906477686052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55","45","267","1.9702970297029694","8.571469607036343","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.571469607036343","10","[0 0 0 0 0]","[0.18628169028096517 0.19988878874780763 0.1269416603312476 0.19918517622797421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","45","259","2.297029702970299","8.42893163722404","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.42893163722404","10","[0 0 0 0 0]","[0.18584283851814684 0.1594807361210378 0.15317380849676782 0.20584423979776428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","45","166","2.623762376237625","9.857569415144212","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","9.857569415144212","10","[0 0 0 0 0]","[0.13862734626234974 0.20422334418783245 0.22537040410158743 0.21210006151073274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58","45","95","2.9504950495049513","10.847645550309146","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.847645550309146","10","[0 0 0 0 0]","[0.12537724390753507 0.24389922390918178 0.23817525411055665 0.22449586821831632]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59","45","240","3.2772277227722775","11.690729901954697","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","11.690729901954697","10","[0 0 0 0 0]","[0.16816218342431305 0.22457358522836435 0.1807682786421197 0.22284367689054677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60","45","75","3.6039603960396036","6.2544255599719545","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.2544255599719545","10","[0 0 0 0 0]","[0.13349607982898148 0.17198540265866286 0.22160430282323368 0.1758913289804051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61","45","248","3.9306930693069297","10.377105985952724","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.377105985952724","10","[0 0 0 0 0]","[0.20079118341686786 0.19610642912850243 0.16467030072924949 0.24857701940338325]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","45","14","4.257425742574259","8.999558829624519","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.999558829624519","10","[0 0 0 0 0]","[0.12611408384180522 0.1881829914600282 0.20914341109184897 0.13193241584272816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63","45","232","4.584158415841586","13.839699952771507","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","13.839699952771507","10","[0 0 0 0 0]","[0.16943853372770507 0.17459988784587965 0.23286396547981036 0.24153214657677097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64","45","190","4.910891089108912","7.9984421943828465","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.9984421943828465","10","[0 0 0 0 0]","[0.18991897795175017 0.22316200419390497 0.1277913028566685 0.16554530783172744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65","45","283","5.237623762376238","7.634515680833935","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.634515680833935","10","[0 0 0 0 0]","[0.2264823370894224 0.23437020568758865 0.2110516571632249 0.19618680176768188]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66","45","154","5.564356435643564","10.98496150412203","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.98496150412203","10","[0 0 0 0 0]","[0.16306474893137274 0.22935675547410506 0.17941324527915276 0.2404320260523283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67","45","169","5.891089108910894","12.570820872001944","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.570820872001944","10","[0 0 0 0 0]","[0.18357854232152565 0.18217561508259583 0.14220784291619704 0.1263610908983271]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68","45","13","6.21782178217822","11.18803772612587","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","11.18803772612587","10","[0 0 0 0 0]","[0.15018333346853788 0.21506473808770776 0.23091800419226605 0.1960692764475002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69","45","229","6.544554455445546","14.551585068207993","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.551585068207993","10","[0 0 0 0 0]","[0.1945816487139283 0.2394507937282374 0.20519577698102354 0.17375096361061845]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70","45","78","6.871287128712872","13.98577241951178","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","13.98577241951178","10","[0 0 0 0 0]","[0.19174179092123206 0.19715993058986436 0.2396872863739723 0.16426831552114912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71","45","317","7.198019801980198","7.282665005913591","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.282665005913591","10","[0 0 0 0 0]","[0.17213532465313186 0.12832848575851957 0.1388650460554237 0.20932050358515786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72","45","269","7.524752475247524","7.1717524617504225","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","7.1717524617504225","10","[0 0 0 0 0]","[0.19518236896069213 0.14597885119505613 0.17763434476740825 0.21058598756523783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73","45","127","7.851485148514854","6.727053636348046","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","6.727053636348046","10","[0 0 0 0 0]","[0.16901516455866505 0.12512666148433138 0.20307881003209574 0.15003392626793494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74","45","147","8.17821782178218","8.817131681435935","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.817131681435935","10","[0 0 0 0 0]","[0.24924223680865662 0.14572177123322005 0.18286501120535287 0.2044396447462889]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75","45","134","8.504950495049506","13.687039016083872","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","13.687039016083872","10","[0 0 0 0 0]","[0.1373429243402895 0.20641304128498722 0.21293962329486757 0.2012801010279065]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
